year,age,sex,d
1989,30,2,47.54290429
1989,35,2,45.51980198
1989,40,2,43.49669967
1989,45,2,39.45049505
1989,50,2,39.45049505
1989,55,2,55.63531353
1989,60,2,60.69306931
1989,65,2,54.62376238
1989,70,2,32.36963696
1989,75,2,36.41584158
1989,80,2,16.18481848
1989,85,2,13.15016502
1990,0,2,0
1990,5,2,1.006722689
1990,10,2,13.08739496
1990,15,2,47.31596639
1990,20,2,44.29579832
1990,25,2,33.22184874
1990,30,2,43.28907563
1990,35,2,36.24201681
1990,40,2,33.22184874
1990,45,2,43.28907563
1990,50,2,51.34285714
1990,55,2,50.33613445
1990,60,2,48.32268908
1990,65,2,48.32268908
1990,70,2,44.29579832
1990,75,2,39.26218487
1990,80,2,11.07394958
1990,85,2,11.07394958
1991,0,2,0
1991,5,2,0
1991,10,2,9.054108216
1991,15,2,39.23446894
1991,20,2,22.13226453
1991,25,2,35.21042084
1991,30,2,42.25250501
1991,35,2,38.22845691
1991,40,2,30.18036072
1991,45,2,33.19839679
1991,50,2,32.19238477
1991,55,2,34.20440882
1991,60,2,43.25851703
1991,65,2,45.27054108
1991,70,2,47.28256513
1991,75,2,25.1503006
1991,80,2,12.07214429
1991,85,2,13.07815631
1992,0,2,0
1992,5,2,0
1992,10,2,13.1547619
1992,15,2,41.48809524
1992,20,2,38.45238095
1992,25,2,36.42857143
1992,30,2,43.51190476
1992,35,2,40.47619048
1992,40,2,39.46428571
1992,45,2,37.44047619
1992,50,2,24.28571429
1992,55,2,26.30952381
1992,60,2,37.44047619
1992,65,2,50.5952381
1992,70,2,34.4047619
1992,75,2,27.32142857
1992,80,2,13.1547619
1992,85,2,6.071428571
1993,0,2,0
1993,5,2,1.002028398
1993,10,2,15.03042596
1993,15,2,36.07302231
1993,20,2,37.07505071
1993,25,2,35.07099391
1993,30,2,41.0831643
1993,35,2,31.06288032
1993,40,2,43.0872211
1993,45,2,36.07302231
1993,50,2,34.06896552
1993,55,2,24.04868154
1993,60,2,42.0851927
1993,65,2,32.06490872
1993,70,2,28.05679513
1993,75,2,27.05476673
1993,80,2,15.03042596
1993,85,2,16.03245436
1994,0,2,0
1994,5,2,3.011764706
1994,10,2,8.031372549
1994,15,2,62.24313725
1994,20,2,36.14117647
1994,25,2,27.10588235
1994,30,2,45.17647059
1994,35,2,33.129411760000004
1994,40,2,48.18823529
1994,45,2,46.18039216
1994,50,2,33.129411760000004
1994,55,2,29.11372549
1994,60,2,33.129411760000004
1994,65,2,38.14901961
1994,70,2,35.1372549
1994,75,2,16.0627451
1994,80,2,9.035294118
1994,85,2,9.035294118
1995,0,2,0
1995,5,2,1.007936508
1995,10,2,18.14285714
1995,15,2,60.47619048
1995,20,2,41.32539683
1995,25,2,35.27777778
1995,30,2,27.21428571
1995,35,2,34.26984127
1995,40,2,32.25396825
1995,45,2,29.23015873
1995,50,2,44.34920635
1995,55,2,36.28571429
1995,60,2,26.20634921
1995,65,2,40.31746032
1995,70,2,32.25396825
1995,75,2,27.21428571
1995,80,2,17.13492063
1995,85,2,5.03968254
1996,0,2,0
1996,5,2,0
1996,10,2,9.067669173
1996,15,2,67.5037594
1996,20,2,38.28571429
1996,25,2,23.17293233
1996,30,2,29.21804511
1996,35,2,34.2556391
1996,40,2,49.36842105
1996,45,2,47.35338346
1996,50,2,46.34586466
1996,55,2,36.27067669
1996,60,2,33.2481203
1996,65,2,39.29323308
1996,70,2,23.17293233
1996,75,2,30.22556391
1996,80,2,20.15037594
1996,85,2,9.067669173
